domain,format,tdg_lines,total_lines,kernel_source_lines,contract_fields_manual,contract_fields_total,manual_fraction,num_kernels,num_edges,git_hash,timestamp
ai_llm,dsl_cpp,59,74,822,29,84,0.3452,8,7,4d4c308,2026-03-24T07:10:32Z
ai_llm,mlir,142,160,822,84,84,1.0,8,7,4d4c308,2026-03-24T07:10:32Z
ai_llm,pragma_c,94,122,822,84,84,1.0,8,7,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,dsl_cpp,47,60,753,22,60,0.3667,6,5,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,mlir,104,118,753,60,60,1.0,6,5,4d4c308,2026-03-24T07:10:32Z
dsp_ofdm,pragma_c,68,89,753,60,60,1.0,6,5,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,dsl_cpp,39,50,724,18,48,0.375,5,4,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,mlir,85,97,724,48,48,1.0,5,4,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,pragma_c,62,80,724,48,48,1.0,5,4,4d4c308,2026-03-24T07:10:32Z
robotics_vio,dsl_cpp,40,51,982,17,48,0.3542,5,4,4d4c308,2026-03-24T07:10:32Z
robotics_vio,mlir,85,97,982,48,48,1.0,5,4,4d4c308,2026-03-24T07:10:32Z
robotics_vio,pragma_c,62,79,982,48,48,1.0,5,4,4d4c308,2026-03-24T07:10:32Z
graph_analytics,dsl_cpp,33,43,697,15,36,0.4167,4,3,4d4c308,2026-03-24T07:10:32Z
graph_analytics,mlir,66,76,697,36,36,1.0,4,3,4d4c308,2026-03-24T07:10:32Z
graph_analytics,pragma_c,54,72,697,36,36,1.0,4,3,4d4c308,2026-03-24T07:10:32Z
zk_stark,dsl_cpp,45,57,1007,21,60,0.35,5,5,4d4c308,2026-03-24T07:10:32Z
zk_stark,mlir,99,112,1007,60,60,1.0,5,5,4d4c308,2026-03-24T07:10:32Z
zk_stark,pragma_c,68,87,1007,60,60,1.0,5,5,4d4c308,2026-03-24T07:10:32Z
