domain,ablation_level,mapping_success_rate,avg_ii,total_cost,compile_time_ms,git_hash,timestamp
ai_llm,full_tdc,1.0,30.0,78284.8,0.1,4d4c308,2026-03-24T07:05:22Z
ai_llm,no_permissions,1.0,30.0,78284.8,0.1,4d4c308,2026-03-24T07:05:22Z
ai_llm,no_visibility,1.0,30.0,174080.0,0.1,4d4c308,2026-03-24T07:05:22Z
ai_llm,dependency_only,1.0,30.0,71680.0,0.0,4d4c308,2026-03-24T07:05:22Z
ai_llm,no_contracts,1.0,30.0,73728.0,0.0,4d4c308,2026-03-24T07:05:22Z
dsp_ofdm,full_tdc,1.0,11.0,33990.2,0.0,4d4c308,2026-03-24T07:05:22Z
dsp_ofdm,no_permissions,1.0,11.0,33990.2,0.0,4d4c308,2026-03-24T07:05:22Z
dsp_ofdm,no_visibility,1.0,11.0,47064.0,0.0,4d4c308,2026-03-24T07:05:22Z
dsp_ofdm,dependency_only,1.0,11.0,36864.0,0.0,4d4c308,2026-03-24T07:05:22Z
dsp_ofdm,no_contracts,1.0,11.0,49152.0,0.0,4d4c308,2026-03-24T07:05:22Z
arvr_stereo,full_tdc,1.0,16.0,53248.0,0.0,4d4c308,2026-03-24T07:05:22Z
arvr_stereo,no_permissions,1.0,16.0,53248.0,0.0,4d4c308,2026-03-24T07:05:22Z
arvr_stereo,no_visibility,1.0,16.0,303104.0,0.0,4d4c308,2026-03-24T07:05:22Z
arvr_stereo,dependency_only,1.0,16.0,35840.0,0.0,4d4c308,2026-03-24T07:05:22Z
arvr_stereo,no_contracts,1.0,16.0,32768.0,0.0,4d4c308,2026-03-24T07:05:22Z
robotics_vio,full_tdc,1.0,13.6,33318.0,0.0,4d4c308,2026-03-24T07:05:22Z
robotics_vio,no_permissions,1.0,13.6,33318.0,0.0,4d4c308,2026-03-24T07:05:22Z
robotics_vio,no_visibility,1.0,13.6,38768.0,0.0,4d4c308,2026-03-24T07:05:22Z
robotics_vio,dependency_only,1.0,13.6,36864.0,0.0,4d4c308,2026-03-24T07:05:22Z
robotics_vio,no_contracts,1.0,13.6,36864.0,0.0,4d4c308,2026-03-24T07:05:22Z
graph_analytics,full_tdc,1.0,18.0,34816.0,0.0,4d4c308,2026-03-24T07:05:22Z
graph_analytics,no_permissions,1.0,18.0,34816.0,0.0,4d4c308,2026-03-24T07:05:22Z
graph_analytics,no_visibility,1.0,18.0,34816.0,0.0,4d4c308,2026-03-24T07:05:22Z
graph_analytics,dependency_only,1.0,18.0,34816.0,0.0,4d4c308,2026-03-24T07:05:22Z
graph_analytics,no_contracts,1.0,18.0,40960.0,0.0,4d4c308,2026-03-24T07:05:22Z
zk_stark,full_tdc,1.0,24.8,65614.68,0.0,4d4c308,2026-03-24T07:05:22Z
zk_stark,no_permissions,1.0,24.8,65614.68,0.0,4d4c308,2026-03-24T07:05:22Z
zk_stark,no_visibility,1.0,24.8,66575.0,0.1,4d4c308,2026-03-24T07:05:22Z
zk_stark,dependency_only,1.0,24.8,69632.0,0.0,4d4c308,2026-03-24T07:05:22Z
zk_stark,no_contracts,1.0,24.8,65536.0,0.0,4d4c308,2026-03-24T07:05:22Z
