domain,transform_config,throughput,area,iterations,transforms_applied,transform_types,total_cost,compile_time_ms,git_hash,timestamp
ai_llm,no_transforms,1.264e-05,16000,1,0,,79104.0,0.1,4d4c308,2026-03-24T07:05:54Z
ai_llm,retile_only,1.452e-05,16000,1,7,retile:attn_output->ffn1 rate 16384->8192; retile:gelu->ffn2 rate 65536->32768; retile:ffn2->layernorm rate 16384->8192; retile:attn_output->ffn1 rate 8192->4096; retile:gelu->ffn2 rate 32768->16384; retile:ffn2->layernorm rate 8192->4096; retile:gelu->ffn2 rate 16384->8192,68864.0,0.3,4d4c308,2026-03-24T07:05:54Z
ai_llm,replicate_only,1.264e-05,16000,1,0,,79104.0,0.1,4d4c308,2026-03-24T07:05:54Z
ai_llm,all_transforms,1.452e-05,16000,1,7,retile:attn_output->ffn1 rate 16384->8192; retile:gelu->ffn2 rate 65536->32768; retile:ffn2->layernorm rate 16384->8192; retile:attn_output->ffn1 rate 8192->4096; retile:gelu->ffn2 rate 32768->16384; retile:ffn2->layernorm rate 8192->4096; retile:gelu->ffn2 rate 16384->8192,68864.0,0.3,4d4c308,2026-03-24T07:05:54Z
dsp_ofdm,no_transforms,2.894e-05,16000,1,0,,34555.0,0.1,4d4c308,2026-03-24T07:05:54Z
dsp_ofdm,retile_only,2.932e-05,16000,1,1,retile:qam_demod->viterbi rate 7200->3600,34105.0,0.1,4d4c308,2026-03-24T07:05:54Z
dsp_ofdm,replicate_only,2.894e-05,16000,1,0,,34555.0,0.1,4d4c308,2026-03-24T07:05:54Z
dsp_ofdm,all_transforms,2.932e-05,16000,1,1,retile:qam_demod->viterbi rate 7200->3600,34105.0,0.1,4d4c308,2026-03-24T07:05:54Z
arvr_stereo,no_transforms,1.502e-05,16000,1,0,,66560.0,0.0,4d4c308,2026-03-24T07:05:54Z
arvr_stereo,retile_only,2.872e-05,16000,1,5,retile:sad_matching->stereo_disparity rate 262144->131072; retile:sad_matching->stereo_disparity rate 131072->65536; retile:sad_matching->stereo_disparity rate 65536->32768; retile:sad_matching->stereo_disparity rate 32768->16384; retile:sad_matching->stereo_disparity rate 16384->8192,34816.0,0.2,4d4c308,2026-03-24T07:05:54Z
arvr_stereo,replicate_only,1.502e-05,16000,1,0,,66560.0,0.0,4d4c308,2026-03-24T07:05:54Z
arvr_stereo,all_transforms,2.872e-05,16000,1,5,retile:sad_matching->stereo_disparity rate 262144->131072; retile:sad_matching->stereo_disparity rate 131072->65536; retile:sad_matching->stereo_disparity rate 65536->32768; retile:sad_matching->stereo_disparity rate 32768->16384; retile:sad_matching->stereo_disparity rate 16384->8192,34816.0,0.2,4d4c308,2026-03-24T07:05:54Z
robotics_vio,no_transforms,2.983e-05,16000,1,0,,33518.0,0.0,4d4c308,2026-03-24T07:05:54Z
robotics_vio,retile_only,2.983e-05,16000,1,0,,33518.0,0.1,4d4c308,2026-03-24T07:05:54Z
robotics_vio,replicate_only,2.983e-05,16000,1,0,,33518.0,0.0,4d4c308,2026-03-24T07:05:54Z
robotics_vio,all_transforms,2.983e-05,16000,1,0,,33518.0,0.1,4d4c308,2026-03-24T07:05:54Z
graph_analytics,no_transforms,2.872e-05,16000,1,0,,34816.0,0.0,4d4c308,2026-03-24T07:05:54Z
graph_analytics,retile_only,2.872e-05,16000,1,0,,34816.0,0.0,4d4c308,2026-03-24T07:05:54Z
graph_analytics,replicate_only,2.872e-05,16000,1,0,,34816.0,0.1,4d4c308,2026-03-24T07:05:54Z
graph_analytics,all_transforms,2.872e-05,16000,1,0,,34816.0,0.1,4d4c308,2026-03-24T07:05:54Z
zk_stark,no_transforms,1.523e-05,16000,1,0,,65665.88,0.0,4d4c308,2026-03-24T07:05:54Z
zk_stark,retile_only,1.523e-05,16000,1,0,,65665.88,0.1,4d4c308,2026-03-24T07:05:54Z
zk_stark,replicate_only,1.523e-05,16000,1,0,,65665.88,0.0,4d4c308,2026-03-24T07:05:54Z
zk_stark,all_transforms,1.523e-05,16000,1,0,,65665.88,0.1,4d4c308,2026-03-24T07:05:54Z
