kernel,domain,pe_type,parallelism,mapped,ii,pe_utilization,area_um2,parallelism_ratio,dfg_node_count,git_hash,timestamp
qkv_proj,ai_llm,spatial_pe,high,0,0.0,0.0,514192.0,22.0,48,4d4c308,2026-03-24T07:07:23Z
qkv_proj,ai_llm,temporal_pe,high,1,8,0.3333,629292.0,22.0,48,4d4c308,2026-03-24T07:07:23Z
softmax,ai_llm,spatial_pe,low,1,4,0.4444,514192.0,4.0,16,4d4c308,2026-03-24T07:07:23Z
softmax,ai_llm,temporal_pe,low,1,2,0.1111,629292.0,4.0,16,4d4c308,2026-03-24T07:07:23Z
fft_butterfly,dsp_ofdm,spatial_pe,high,1,8,0.8889,514192.0,9.6,32,4d4c308,2026-03-24T07:07:23Z
fft_butterfly,dsp_ofdm,temporal_pe,high,1,4,0.2222,629292.0,9.6,32,4d4c308,2026-03-24T07:07:23Z
viterbi,dsp_ofdm,spatial_pe,low,1,6,0.7778,514192.0,10.0,28,4d4c308,2026-03-24T07:07:23Z
viterbi,dsp_ofdm,temporal_pe,low,1,2,0.1944,629292.0,10.0,28,4d4c308,2026-03-24T07:07:23Z
sad_matching,arvr_stereo,spatial_pe,high,1,6,0.7778,514192.0,8.4,28,4d4c308,2026-03-24T07:07:23Z
sad_matching,arvr_stereo,temporal_pe,high,1,2,0.1944,629292.0,8.4,28,4d4c308,2026-03-24T07:07:23Z
post_filter,arvr_stereo,spatial_pe,low,1,5,0.5,514192.0,6.25,18,4d4c308,2026-03-24T07:07:23Z
post_filter,arvr_stereo,temporal_pe,low,1,3,0.125,629292.0,6.25,18,4d4c308,2026-03-24T07:07:23Z
pose_estimate,robotics_vio,spatial_pe,high,1,8,0.7778,514192.0,10.0,28,4d4c308,2026-03-24T07:07:23Z
pose_estimate,robotics_vio,temporal_pe,high,1,4,0.1944,629292.0,10.0,28,4d4c308,2026-03-24T07:07:23Z
bfs_traversal,graph_analytics,spatial_pe,low,1,4,0.5556,514192.0,7.5,20,4d4c308,2026-03-24T07:07:23Z
bfs_traversal,graph_analytics,temporal_pe,low,1,2,0.1389,629292.0,7.5,20,4d4c308,2026-03-24T07:07:23Z
ntt,zk_stark,spatial_pe,high,1,8,0.8889,514192.0,9.0,32,4d4c308,2026-03-24T07:07:23Z
ntt,zk_stark,temporal_pe,high,1,4,0.2222,629292.0,9.0,32,4d4c308,2026-03-24T07:07:23Z
poseidon_hash,zk_stark,spatial_pe,low,1,10,0.7778,514192.0,10.5,28,4d4c308,2026-03-24T07:07:23Z
poseidon_hash,zk_stark,temporal_pe,low,1,5,0.1944,629292.0,10.5,28,4d4c308,2026-03-24T07:07:23Z
