sw_domain,hw_domain,mapping_success_rate,throughput,throughput_vs_native_pct
ai_llm,ai_llm,100.0,0.00608599,100.0
ai_llm,dsp_ofdm,100.0,0.00237657,39.0
ai_llm,arvr_stereo,60.0,0.00174316,28.6
ai_llm,robotics_vio,60.0,0.00170028,27.9
ai_llm,graph_analytics,12.5,0.00081145,13.3
ai_llm,zk_stark,60.0,0.00197681,32.5
dsp_ofdm,ai_llm,100.0,0.00952945,33.2
dsp_ofdm,dsp_ofdm,100.0,0.02870979,100.0
dsp_ofdm,arvr_stereo,60.0,0.00844079,29.4
dsp_ofdm,robotics_vio,60.0,0.01146065,39.9
dsp_ofdm,graph_analytics,33.3,0.00522354,18.2
dsp_ofdm,zk_stark,60.0,0.00729044,25.4
arvr_stereo,ai_llm,60.0,0.001034,24.3
arvr_stereo,dsp_ofdm,60.0,0.00124867,29.4
arvr_stereo,arvr_stereo,100.0,0.00424714,100.0
arvr_stereo,robotics_vio,60.0,0.00127536,30.0
arvr_stereo,graph_analytics,60.0,0.00086033,20.3
arvr_stereo,zk_stark,60.0,0.00088625,20.9
robotics_vio,ai_llm,60.0,0.00974182,23.7
robotics_vio,dsp_ofdm,60.0,0.01637615,39.9
robotics_vio,arvr_stereo,60.0,0.01231885,30.0
robotics_vio,robotics_vio,100.0,0.0410235,100.0
robotics_vio,graph_analytics,20.0,0.00857232,20.9
robotics_vio,zk_stark,60.0,0.0113334,27.6
graph_analytics,ai_llm,60.0,0.01041137,18.9
graph_analytics,dsp_ofdm,60.0,0.01671448,30.3
graph_analytics,arvr_stereo,60.0,0.01860917,33.8
graph_analytics,robotics_vio,60.0,0.01919658,34.8
graph_analytics,graph_analytics,100.0,0.05512,100.0
graph_analytics,zk_stark,60.0,0.01301043,23.6
zk_stark,ai_llm,60.0,0.01570924,32.5
zk_stark,dsp_ofdm,60.0,0.01444861,29.9
zk_stark,arvr_stereo,60.0,0.01187312,24.5
zk_stark,robotics_vio,60.0,0.01571917,32.5
zk_stark,graph_analytics,20.0,0.00805817,16.7
zk_stark,zk_stark,100.0,0.0483639,100.0
