kernel,domain,cgra_power_w,cpu_tdp_w,gpu_tdp_w,cgra_gops_per_w,cpu_gops_per_w,gpu_gops_per_w,cgra_vs_cpu_efficiency,cgra_vs_gpu_efficiency,git_hash,timestamp
attn_output,ai_llm,0.5,170.0,75.0,21.33,0.0244,405.45,876.01,0.0526,4d4c308,2026-03-24T07:04:04Z
attn_score,ai_llm,0.5,170.0,75.0,12.12,0.0244,405.45,497.89,0.0299,4d4c308,2026-03-24T07:04:04Z
crc_check,dsp_ofdm,0.5,170.0,75.0,11.5,0.0706,20.0,162.92,0.575,4d4c308,2026-03-24T07:04:04Z
ffn1,ai_llm,0.5,170.0,75.0,9.12,0.0209,605.35,436.97,0.0151,4d4c308,2026-03-24T07:04:04Z
ffn2,ai_llm,0.5,170.0,75.0,9.12,0.0209,605.35,436.97,0.0151,4d4c308,2026-03-24T07:04:04Z
gelu,ai_llm,0.5,170.0,75.0,2.52,0.0482,69.33,52.19,0.0363,4d4c308,2026-03-24T07:04:04Z
image_warp,arvr_stereo,0.5,170.0,75.0,22.0,0.03,37.33,733.33,0.5893,4d4c308,2026-03-24T07:04:04Z
label_prop,graph_analytics,0.5,170.0,75.0,19.0,0.0124,2.79,1538.1,6.8169,4d4c308,2026-03-24T07:04:04Z
layernorm,ai_llm,0.5,170.0,75.0,21.0,0.0382,50.67,549.23,0.4145,4d4c308,2026-03-24T07:04:04Z
poly_eval,zk_stark,0.5,170.0,75.0,5.47,0.0106,3.76,516.3,1.4554,4d4c308,2026-03-24T07:04:04Z
qkv_proj,ai_llm,0.5,170.0,75.0,16.25,0.0209,605.35,778.17,0.0268,4d4c308,2026-03-24T07:04:04Z
sad_matching,arvr_stereo,0.5,170.0,75.0,23.75,0.0224,16.0,1062.5,1.4844,4d4c308,2026-03-24T07:04:04Z
softmax,ai_llm,0.5,170.0,75.0,6.5,0.0244,405.45,266.91,0.016,4d4c308,2026-03-24T07:04:04Z
triangle_count,graph_analytics,0.5,170.0,75.0,15.5,0.0124,2.79,1254.76,5.5611,4d4c308,2026-03-24T07:04:04Z
