domain,stage,ii,nodes,mapped,data_out_bytes,noc_transfer_cycles,git_hash,timestamp
ai_llm,qkv_proj,4,65,True,8192,22.0,4d4c308,2026-03-24T07:05:21Z
ai_llm,attn_score,8,97,True,16384,22.0,4d4c308,2026-03-24T07:05:21Z
ai_llm,softmax,4,26,True,16384,22.0,4d4c308,2026-03-24T07:05:21Z
ai_llm,attn_output,3,64,True,65536,22.0,4d4c308,2026-03-24T07:05:21Z
ai_llm,ffn1,8,73,True,262144,22.0,4d4c308,2026-03-24T07:05:21Z
ai_llm,gelu,29,73,True,262144,22.0,4d4c308,2026-03-24T07:05:21Z
ai_llm,ffn2,8,73,True,65536,22.0,4d4c308,2026-03-24T07:05:21Z
ai_llm,layernorm,2,42,True,65536,22.0,4d4c308,2026-03-24T07:05:21Z
dsp_ofdm,fft_butterfly,0,0,False,32768,0,4d4c308,2026-03-24T07:05:21Z
dsp_ofdm,channel_est,0,0,False,9600,0,4d4c308,2026-03-24T07:05:21Z
dsp_ofdm,equalizer,0,0,False,9600,0,4d4c308,2026-03-24T07:05:21Z
dsp_ofdm,qam_demod,0,0,False,28800,0,4d4c308,2026-03-24T07:05:21Z
dsp_ofdm,viterbi,0,0,False,7200,0,4d4c308,2026-03-24T07:05:21Z
dsp_ofdm,crc_check,2,23,True,7200,22.0,4d4c308,2026-03-24T07:05:21Z
arvr_stereo,harris_corner,0,0,False,16384,0,4d4c308,2026-03-24T07:05:21Z
arvr_stereo,sad_matching,4,95,True,1048576,22.0,4d4c308,2026-03-24T07:05:21Z
arvr_stereo,stereo_disparity,0,0,False,16384,0,4d4c308,2026-03-24T07:05:21Z
arvr_stereo,image_warp,3,66,True,16384,22.0,4d4c308,2026-03-24T07:05:21Z
arvr_stereo,post_filter,0,0,False,16384,0,4d4c308,2026-03-24T07:05:21Z
graph_analytics,bfs_traversal,0,0,False,4096,0,4d4c308,2026-03-24T07:05:21Z
graph_analytics,pagerank_spmv,0,0,False,4096,0,4d4c308,2026-03-24T07:05:21Z
graph_analytics,label_prop,2,38,True,4096,22.0,4d4c308,2026-03-24T07:05:21Z
graph_analytics,triangle_count,2,31,True,4096,22.0,4d4c308,2026-03-24T07:05:21Z
zk_stark,ntt,0,0,False,4096,0,4d4c308,2026-03-24T07:05:21Z
zk_stark,poly_eval,15,82,True,1024,22.0,4d4c308,2026-03-24T07:05:21Z
zk_stark,poseidon_hash,0,0,False,16,0,4d4c308,2026-03-24T07:05:21Z
zk_stark,proof_compose,0,0,False,12,0,4d4c308,2026-03-24T07:05:21Z
zk_stark,msm,0,0,False,12,0,4d4c308,2026-03-24T07:05:21Z
