domain,topology,total_noc_cycles,max_link_utilization,avg_hop_count,contention_events,num_kernels,num_contracts,num_cross_core,git_hash,timestamp
ai_llm,mesh,43530,0.399908,1.4286,0,8,7,7,4d4c308,2026-03-24T07:03:30Z
ai_llm,ring,43527,0.399936,1.0,0,8,7,7,4d4c308,2026-03-24T07:03:30Z
ai_llm,hierarchical,43530,0.399908,1.4286,0,8,7,7,4d4c308,2026-03-24T07:03:30Z
dsp_ofdm,mesh,5505,0.453769,1.4,0,6,5,5,4d4c308,2026-03-24T07:03:30Z
dsp_ofdm,ring,5503,0.453934,1.0,0,6,5,5,4d4c308,2026-03-24T07:03:30Z
dsp_ofdm,hierarchical,5505,0.453769,1.4,0,6,5,5,4d4c308,2026-03-24T07:03:30Z
arvr_stereo,mesh,68614,0.95514,1.5,2,5,4,4,4d4c308,2026-03-24T07:03:30Z
arvr_stereo,ring,68612,0.955168,1.0,1,5,4,4,4d4c308,2026-03-24T07:03:30Z
arvr_stereo,hierarchical,68614,0.95514,1.5,2,5,4,4,4d4c308,2026-03-24T07:03:30Z
robotics_vio,mesh,1355,0.738007,1.6667,0,5,4,3,4d4c308,2026-03-24T07:03:30Z
robotics_vio,ring,1353,0.739098,1.0,0,5,4,3,4d4c308,2026-03-24T07:03:30Z
robotics_vio,hierarchical,1355,0.738007,1.6667,0,5,4,3,4d4c308,2026-03-24T07:03:30Z
graph_analytics,mesh,771,0.332036,1.0,0,4,3,3,4d4c308,2026-03-24T07:03:30Z
graph_analytics,ring,773,0.662354,1.6667,0,4,3,3,4d4c308,2026-03-24T07:03:30Z
graph_analytics,hierarchical,773,0.331177,1.6667,0,4,3,3,4d4c308,2026-03-24T07:03:30Z
zk_stark,mesh,331,0.773414,1.4,0,5,5,5,4d4c308,2026-03-24T07:03:30Z
zk_stark,ring,335,0.773134,2.2,0,5,5,5,4d4c308,2026-03-24T07:03:30Z
zk_stark,hierarchical,333,0.774775,1.8,0,5,5,5,4d4c308,2026-03-24T07:03:30Z
