domain,sweep_param,sweep_value,mapping_success,avg_ii,system_throughput,total_area,git_hash,timestamp
ai_llm,spm_size_kb,4,False,-1,0.0,44800.0,4d4c308,2026-03-24T07:03:38Z
ai_llm,spm_size_kb,8,False,-1,0.0,89600.0,4d4c308,2026-03-24T07:03:38Z
ai_llm,spm_size_kb,16,False,-1,0.0,179200.0,4d4c308,2026-03-24T07:03:38Z
ai_llm,spm_size_kb,32,False,-1,0.0,358400.0,4d4c308,2026-03-24T07:03:38Z
ai_llm,spm_size_kb,64,False,-1,0.0,716800.0,4d4c308,2026-03-24T07:03:38Z
ai_llm,l2_size_kb,64,True,1.25,0.8,179200.0,4d4c308,2026-03-24T07:03:38Z
ai_llm,l2_size_kb,128,True,1.0,1.0,358400.0,4d4c308,2026-03-24T07:03:38Z
ai_llm,l2_size_kb,256,True,1.0,1.0,716800.0,4d4c308,2026-03-24T07:03:38Z
ai_llm,l2_size_kb,512,True,1.0,1.0,1433600.0,4d4c308,2026-03-24T07:03:38Z
ai_llm,l2_size_kb,1024,True,1.0,1.0,2867200.0,4d4c308,2026-03-24T07:03:38Z
graph_analytics,spm_size_kb,4,True,3.0,0.333333,44800.0,4d4c308,2026-03-24T07:03:38Z
graph_analytics,spm_size_kb,8,True,2.0,0.5,89600.0,4d4c308,2026-03-24T07:03:38Z
graph_analytics,spm_size_kb,16,True,1.0,1.0,179200.0,4d4c308,2026-03-24T07:03:38Z
graph_analytics,spm_size_kb,32,True,1.0,1.0,358400.0,4d4c308,2026-03-24T07:03:38Z
graph_analytics,spm_size_kb,64,True,1.0,1.0,716800.0,4d4c308,2026-03-24T07:03:38Z
graph_analytics,l2_size_kb,64,True,1.0,1.0,179200.0,4d4c308,2026-03-24T07:03:38Z
graph_analytics,l2_size_kb,128,True,1.0,1.0,358400.0,4d4c308,2026-03-24T07:03:38Z
graph_analytics,l2_size_kb,256,True,1.0,1.0,716800.0,4d4c308,2026-03-24T07:03:38Z
graph_analytics,l2_size_kb,512,True,1.0,1.0,1433600.0,4d4c308,2026-03-24T07:03:38Z
graph_analytics,l2_size_kb,1024,True,1.0,1.0,2867200.0,4d4c308,2026-03-24T07:03:38Z
