timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/03/22 21:24:08.088, 31.29 W, 40, 0 %, 20 MiB
2026/03/22 21:24:09.091, 31.12 W, 40, 0 %, 20 MiB
2026/03/22 21:24:10.091, 31.10 W, 40, 0 %, 20 MiB
2026/03/22 21:24:11.091, 51.44 W, 41, 0 %, 20 MiB
2026/03/22 21:24:12.091, 76.35 W, 41, 0 %, 20 MiB
2026/03/22 21:24:13.092, 72.12 W, 41, 0 %, 20 MiB
2026/03/22 21:24:14.092, 72.95 W, 41, 0 %, 20 MiB
2026/03/22 21:24:15.092, 66.89 W, 41, 0 %, 20 MiB
2026/03/22 21:24:16.092, 75.44 W, 41, 0 %, 20 MiB
2026/03/22 21:24:17.092, 58.51 W, 41, 1 %, 20 MiB
2026/03/22 21:24:18.092, 76.00 W, 41, 0 %, 20 MiB
2026/03/22 21:24:19.093, 75.45 W, 41, 0 %, 20 MiB
2026/03/22 21:24:20.093, 48.94 W, 40, 0 %, 20 MiB
2026/03/22 21:24:21.093, 33.09 W, 40, 0 %, 20 MiB
2026/03/22 21:24:22.093, 32.25 W, 40, 0 %, 20 MiB
2026/03/22 21:24:23.094, 31.36 W, 40, 0 %, 20 MiB
2026/03/22 21:24:24.094, 31.39 W, 40, 0 %, 20 MiB
2026/03/22 21:24:25.094, 31.28 W, 40, 0 %, 20 MiB
2026/03/22 21:24:26.094, 31.28 W, 40, 0 %, 20 MiB
2026/03/22 21:24:27.095, 31.29 W, 40, 0 %, 20 MiB
2026/03/22 21:24:28.096, 31.18 W, 40, 0 %, 20 MiB
2026/03/22 21:24:29.096, 31.27 W, 40, 0 %, 20 MiB
2026/03/22 21:24:30.096, 31.37 W, 40, 0 %, 20 MiB
2026/03/22 21:24:31.096, 31.61 W, 40, 0 %, 20 MiB
2026/03/22 21:24:32.097, 31.62 W, 40, 0 %, 20 MiB
2026/03/22 21:24:33.097, 31.53 W, 40, 0 %, 20 MiB
2026/03/22 21:24:34.097, 31.43 W, 40, 0 %, 20 MiB
2026/03/22 21:24:35.097, 31.46 W, 40, 0 %, 20 MiB
2026/03/22 21:24:36.097, 31.41 W, 40, 0 %, 20 MiB
2026/03/22 21:24:37.098, 31.21 W, 40, 0 %, 20 MiB
2026/03/22 21:24:38.098, 31.35 W, 40, 0 %, 20 MiB
2026/03/22 21:24:39.098, 31.27 W, 40, 0 %, 20 MiB
2026/03/22 21:24:40.098, 30.80 W, 40, 0 %, 20 MiB
2026/03/22 21:24:41.099, 35.99 W, 41, 1 %, 20 MiB
2026/03/22 21:24:42.099, 74.42 W, 41, 0 %, 20 MiB
